"id","Q1Pur","Q2Aw_1","Q2Aw_2","Q2Aw_3","Q2Aw_4","Q2Aw_5","Q2Aw_6","Q2Aw_7","Q2Aw_8","Q2Aw_9","Q2Aw_10","Q2Aw_11","Q3Pi_r1","Q3Pi_r2","Q3Pi_r3","Q3Pi_r4","Q3Pi_r5","Q3Pi_r6","Q3Pi_r7","Q3Pi_r8","Q3Pi_r9","Q3Pi_r10","Q4CredL_r1","Q4CredL_r2","Q4CredL_r3","Q4CredL_r4","Q5CredG_r1","Q5CredG_r2","Q5CredG_r3","Q5CredG_r4","Q6CredT_r1","Q6CredT_r2","Q6CredT_r3","Q6CredT_r4","Q7Belief","Q8Myst","Q9Myst","Q10Myst","Q11Myst","Q12Myst","Q13Opti_r1","Q13Opti_r2","Q13Opti_r3","Q13Opti_r4","Q13Opti_r5","Q13Opti_r6","Q13Opti_r7","Q13Opti_r8","Q13Opti_r9","Q14Demo","Q15Demo","Q16Demo","Q17Demo","Q18Demo","Q19Demo","Q20Demo","Q21Demo","Q22Demo","Q23Com"
17,2,1,1,1,1,1,0,0,1,1,1,0,6,1,2,3,4,1,1,1,1,1,6,5,6,5,4,4,4,4,5,5,6,5,3,2,"",NA,"",2,6,6,5,6,7,5,6,5,6,2,24,"Germany",3,2,4,4,1,1,"way too complicated to answer for someone who is absolutely not interested in or familiar with any of the topics"
18,2,1,1,1,1,1,1,1,1,1,1,0,6,1,1,6,1,1,4,1,3,2,6,6,3,5,6,6,5,2,4,5,3,6,3,2,"",NA,"",2,6,6,6,7,6,5,6,6,6,1,22,"Germany",3,1,4,2,2,1,""
20,1,1,0,1,1,1,0,0,0,1,1,0,6,1,3,3,2,1,1,1,3,3,5,4,5,6,4,4,4,4,5,5,6,5,3,2,"",NA,"",2,7,6,5,6,6,6,6,6,6,2,23,"Germany",3,3,2,2,1,1,""
21,1,0,0,1,0,0,0,0,0,0,0,0,6,5,7,6,6,2,1,2,5,4,6,6,6,6,4,4,4,5,5,5,5,6,3,2,"",NA,"",2,5,6,5,7,5,5,5,5,6,2,53,"Germany",2,4,1,5,2,2,""
24,2,1,0,1,1,1,0,0,0,1,1,0,7,4,4,5,4,4,3,4,5,4,7,7,7,7,6,4,6,5,6,6,6,6,3,2,"",NA,"",2,5,5,5,6,4,4,5,4,5,1,20,"China",3,1,2,4,1,1,""
25,2,1,0,1,0,1,1,0,0,1,1,0,4,2,4,2,3,4,2,1,4,2,6,6,6,5,5,5,5,6,6,7,7,6,3,1,"Christmas gift bag",2,"",1,6,5,6,6,5,4,6,6,5,1,24,"China",1,1,4,4,1,1,""
26,1,1,1,1,1,1,0,0,0,1,1,0,5,4,5,2,2,2,2,2,3,3,7,6,7,7,4,4,4,5,6,6,6,7,1,2,"",NA,"",2,6,4,3,6,5,3,5,6,4,2,27,"Germany",1,1,2,4,1,1,""
27,2,1,0,0,0,0,0,0,1,1,0,0,7,3,2,5,5,4,3,6,6,6,7,7,7,7,7,6,6,6,7,7,7,7,3,2,"",NA,"",2,5,6,6,6,5,5,6,5,5,1,21,"Germany",1,1,1,4,1,1,""
30,2,1,0,1,0,0,1,0,1,0,0,0,4,3,4,4,3,5,2,4,3,3,5,5,5,5,3,4,5,5,5,3,5,4,1,2,"",NA,"",1,6,6,6,7,6,6,6,6,6,1,23,"China",3,2,4,5,1,1,"213"
32,1,1,0,0,1,1,0,1,0,0,1,0,6,1,1,5,3,1,4,2,4,4,6,6,4,4,6,4,6,4,6,4,6,4,1,2,"",NA,"",2,7,5,5,4,7,3,6,4,4,2,30,"Germany",3,6,1,4,2,2,""
34,2,1,0,0,0,0,0,0,0,0,0,0,6,1,1,1,3,3,1,1,3,3,6,6,6,6,5,5,5,5,6,5,6,6,3,2,"",NA,"",2,6,6,4,4,5,6,5,5,6,1,22,"Germany",2,1,2,2,2,1,""
35,2,1,0,0,1,1,0,0,0,1,1,0,1,1,1,3,2,1,1,1,5,5,5,4,5,3,5,4,5,3,6,6,5,3,3,2,"",NA,"",2,6,6,5,6,5,5,6,6,6,1,22,"Germany",3,2,2,2,1,1,"I would like to point out that I've never bought the brands used in the cases of the survey. Personally, the brands Levi's, Guess and To.my Hilfiger make no difference to me."
36,1,1,0,0,0,0,0,0,0,0,0,0,6,1,1,2,3,4,1,1,2,2,6,5,6,6,4,4,4,4,6,7,6,6,3,2,"",NA,"",2,6,6,4,7,7,6,6,6,5,1,22,"Germany",1,2,2,4,1,1,""
37,2,1,1,1,1,1,0,0,0,1,1,0,6,2,1,6,1,1,1,1,5,3,6,6,6,6,4,4,5,5,7,7,7,6,3,2,"",NA,"",2,6,6,4,5,7,4,5,5,6,1,22,"Germany",1,1,1,3,1,2,""
39,2,1,1,1,1,1,0,0,0,1,1,0,7,5,4,6,2,4,2,1,3,1,7,7,7,6,4,3,5,2,5,4,7,7,3,2,"",NA,"",1,7,5,4,7,7,5,6,6,6,1,23,"Germany",2,1,2,4,1,1,""
40,3,1,0,1,1,0,0,0,0,1,1,0,7,1,3,5,2,2,1,2,3,3,6,5,5,3,6,4,6,6,6,6,6,6,3,2,"",NA,"",2,7,5,6,7,3,4,4,6,6,1,23,"Germany",1,1,2,2,2,1,""
41,2,1,0,1,1,0,1,0,1,0,0,0,6,1,6,3,2,6,1,3,1,1,6,6,6,5,6,6,6,6,6,6,7,6,3,2,"",NA,"",2,3,5,6,6,2,2,4,3,5,1,24,"China",3,3,1,4,1,2,""
43,1,1,0,0,1,0,1,1,1,1,1,0,7,1,1,4,3,4,6,3,2,3,6,6,7,6,4,5,6,4,4,4,6,4,1,2,"",NA,"",2,6,7,5,6,5,6,5,6,6,1,22,"Germany",1,1,2,2,1,1,""
44,2,1,1,1,1,1,1,1,1,1,1,0,4,2,2,2,1,1,1,2,1,2,5,6,5,4,4,4,4,4,6,5,5,5,3,1,"Wundetüten",2,"",1,5,6,6,6,5,5,6,5,5,1,19,"Germany",2,1,4,2,2,1,""
45,1,1,1,1,1,1,1,1,1,1,1,0,3,1,1,4,2,1,2,1,2,4,6,6,6,6,4,4,4,4,6,4,4,6,2,1,"Hotwire, priceline",1,"Hotel room",1,6,4,4,6,3,5,4,6,4,1,29,"Germany",1,1,1,4,1,1,""
46,1,0,0,0,0,0,0,0,0,0,0,1,3,3,5,3,3,3,2,3,3,3,4,4,4,4,4,4,2,4,4,4,4,4,3,2,"",NA,"",1,5,5,4,5,5,5,5,6,6,2,25,"China",1,2,1,4,1,2,""
47,2,1,0,0,0,0,0,0,0,0,0,0,6,3,3,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,2,2,"",NA,"",2,6,6,6,5,6,6,6,6,6,1,22,"Germany",2,1,2,2,2,1,""
48,1,1,1,1,1,1,1,1,1,1,1,0,6,3,2,2,6,6,3,2,2,2,4,4,5,4,4,4,3,4,4,4,5,4,3,2,"",NA,"",2,6,4,5,4,6,6,6,6,4,1,27,"France",2,2,2,3,1,2,""
56,1,1,1,1,1,1,1,1,1,1,1,0,7,5,5,5,5,1,3,3,1,1,7,7,7,6,4,4,4,4,4,4,4,4,3,1,"The make up company Jeffree Star did a Halloween mystery box, in which you got surprise products and you can buy mystery boxes with random content on eBay.",2,"",2,4,3,5,5,5,5,5,5,3,1,20,"Germany",3,1,2,2,1,1,""
57,1,1,1,0,1,0,1,0,1,1,1,0,6,3,2,4,2,3,2,3,3,3,6,6,7,7,5,5,7,6,6,6,7,7,3,2,"",NA,"",1,7,7,6,7,6,7,7,5,7,2,24,"Germany",3,3,1,3,1,2,""
58,1,1,0,0,1,1,1,0,1,1,1,0,3,1,1,4,3,6,1,5,6,2,7,6,7,6,3,3,4,4,6,6,6,7,1,2,"",NA,"",2,6,6,5,7,6,5,4,5,7,1,21,"Germany",2,1,1,2,2,1,""
59,2,1,1,0,1,1,1,0,1,1,1,0,3,2,1,2,1,1,1,2,4,3,6,5,6,6,5,5,5,5,6,6,7,6,3,2,"",NA,"",2,3,2,2,2,6,5,6,4,3,1,22,"Germany",1,1,4,2,1,1,""
60,2,1,1,1,1,1,1,1,1,1,1,0,5,3,2,4,1,5,5,1,1,1,7,6,7,4,4,4,5,4,7,5,7,5,3,2,"",NA,"",2,7,6,3,7,6,7,7,7,7,1,21,"Germany",1,1,2,4,1,1,""
61,2,1,0,1,1,0,1,0,0,0,0,0,3,1,4,3,1,4,1,1,1,1,4,5,4,2,4,4,4,4,5,5,6,4,2,2,"",NA,"",2,6,6,7,5,4,5,6,3,5,2,25,"China",3,4,1,4,1,1,""
62,2,1,1,1,1,1,1,0,1,1,1,0,7,1,4,6,6,2,2,3,1,1,7,7,7,7,4,5,6,3,6,6,6,6,3,2,"",NA,"",2,6,6,7,7,3,5,5,5,6,1,22,"Germany",2,2,4,2,2,1,""
63,1,1,1,1,1,1,1,1,1,1,1,0,3,2,1,3,2,1,5,1,2,2,6,6,6,6,4,4,5,4,6,6,6,6,3,2,"",NA,"",2,5,5,5,7,6,6,6,5,5,1,23,"Germany",3,1,4,4,1,1,""
67,2,1,1,1,1,1,1,0,0,1,1,0,4,3,3,4,4,3,2,2,2,2,5,5,6,4,4,5,5,4,5,4,5,4,3,2,"",NA,"",1,6,5,6,6,5,4,5,6,5,2,22,"Germany",1,1,2,4,1,1,""
73,2,1,1,1,1,1,0,0,0,1,1,0,1,1,3,1,2,1,1,1,6,3,6,5,7,4,4,4,5,4,5,5,4,4,3,2,"",NA,"",1,5,5,5,5,5,4,6,5,6,1,47,"Germany",1,1,5,3,4,2,""
75,1,1,1,0,1,1,1,0,0,0,0,0,3,2,2,1,2,1,1,1,2,1,5,5,6,5,4,4,5,5,4,5,3,4,3,2,"",NA,"",2,7,6,6,4,5,7,7,6,6,1,20,"Germany",2,2,4,2,1,1,""
78,2,1,0,0,1,1,0,0,0,1,0,0,7,4,3,6,5,3,4,2,5,3,5,5,7,7,4,2,4,3,5,4,6,4,3,2,"",NA,"",2,6,3,4,3,5,5,3,3,4,1,24,"Germany",3,3,2,3,2,1,""
79,1,1,1,1,1,1,1,0,1,1,1,0,5,3,4,4,4,3,2,4,4,2,6,6,6,6,4,3,4,4,6,6,6,6,2,1,"- Surprise Bags from certain companies (e. g. Paprcuts.de)",2,"",2,6,6,7,7,6,5,6,6,6,2,25,"Germany",2,2,2,4,2,1,""
82,2,1,1,1,1,1,1,0,1,1,1,0,3,2,2,3,5,2,1,3,2,2,5,4,6,6,4,4,4,4,4,4,5,5,3,2,"",NA,"",2,5,4,5,6,7,5,5,6,4,2,25,"Germany",1,1,2,2,1,1,""
83,1,1,0,0,1,1,0,0,0,1,1,0,3,2,2,3,1,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,3,2,"",NA,"",2,6,5,6,6,6,4,5,6,4,2,25,"Germany",2,1,4,4,2,1,""
85,1,1,0,1,1,1,1,1,1,1,0,0,7,2,3,5,2,5,5,5,1,1,7,7,7,7,7,7,7,7,7,7,7,7,1,2,"",NA,"",1,7,7,7,7,6,7,7,7,7,1,27,"China",3,3,2,5,2,1,""
88,2,0,0,0,0,0,0,0,0,0,0,1,5,2,2,5,1,4,1,4,3,3,5,5,6,4,4,5,6,4,6,6,6,4,1,2,"",NA,"",1,7,4,5,4,5,5,5,6,3,1,20,"Germany",1,1,4,3,1,1,""
91,1,0,0,0,0,1,0,0,0,0,0,0,3,4,5,5,3,4,4,3,4,3,6,5,6,6,6,4,7,6,5,6,7,6,1,2,"",NA,"",2,7,6,5,6,6,7,6,7,6,3,23,"Russian Federation",1,1,2,4,2,1,""
93,1,1,0,1,0,0,1,0,0,0,0,0,3,1,3,1,1,3,1,1,1,1,6,6,6,6,3,2,5,6,3,2,5,6,3,2,"",NA,"",2,6,6,6,6,6,6,6,6,2,2,23,"China",3,3,1,5,1,1,"My unique three-digit survey code is 272."
94,2,1,0,1,1,0,0,0,0,0,1,0,6,1,7,6,3,1,1,1,7,6,5,4,3,5,4,4,4,4,3,2,6,4,1,1,"Sephora",2,"",1,6,3,6,7,4,6,7,4,2,1,23,"Germany",3,6,2,4,1,1,""
98,2,1,1,1,1,1,1,1,1,1,1,0,7,3,3,6,1,3,4,1,1,1,6,6,7,7,4,4,4,4,3,5,5,6,3,2,"",NA,"",2,4,7,7,7,7,5,6,4,7,1,22,"Germany",2,4,3,4,1,1,""
99,1,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,2,1,1,1,1,1,5,5,5,6,4,4,4,4,5,5,5,4,3,2,"",NA,"",2,6,5,7,6,6,6,6,6,5,2,27,"Spain",3,2,2,5,1,1,"I know few about clothes and jeans, I had to look up for some of the definitions of jeans style..."
100,1,1,1,1,1,1,1,1,1,1,0,0,6,1,2,2,1,6,5,4,2,1,7,7,7,5,6,6,6,5,6,5,6,6,1,2,"",NA,"",1,6,6,5,7,7,6,7,6,6,1,27,"United States",1,5,1,5,1,2,""
101,1,1,0,1,1,1,1,0,1,1,0,0,5,1,2,5,5,3,1,2,1,1,6,6,7,6,4,4,5,4,5,4,5,4,3,2,"",NA,"",2,5,2,6,5,5,5,5,5,3,1,24,"Brazil",3,3,4,5,1,2,""
102,1,1,1,1,1,1,1,0,1,1,1,0,5,5,5,5,5,5,5,5,5,5,7,6,7,7,6,6,6,6,6,6,6,6,3,2,"",NA,"",1,5,6,6,6,4,5,5,7,6,2,26,"Germany",2,3,1,5,1,2,""
104,2,1,1,1,0,1,0,0,0,1,1,0,2,5,5,2,2,2,2,2,2,2,6,6,6,5,4,4,4,4,4,4,4,4,3,2,"",NA,"",2,6,5,5,6,5,5,5,5,5,1,52,"Germany",3,3,1,1,2,2,""
106,1,0,0,0,0,0,0,0,0,0,0,1,6,2,5,5,1,3,1,4,4,2,4,5,4,6,5,5,5,5,6,6,6,6,3,2,"",NA,"",2,5,6,5,4,5,5,5,4,4,1,22,"Germany",1,1,4,4,1,1,""
107,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,4,4,2,1,4,6,6,5,4,4,1,1,2,2,"",NA,"",2,4,2,6,6,5,5,5,4,2,1,22,"Germany",3,1,4,4,1,1,""
108,1,1,0,1,0,1,0,0,0,0,0,0,7,1,2,4,2,1,1,1,3,2,7,6,7,6,4,4,4,4,4,5,6,5,3,1,"HelloFresh",2,"",2,7,6,7,7,7,4,6,7,7,1,21,"Germany",1,1,4,4,1,1,""
109,1,1,0,0,1,1,1,0,1,1,1,0,2,1,1,2,1,2,1,1,2,2,4,4,5,5,6,5,5,5,6,6,6,6,1,2,"",NA,"",2,5,5,6,6,6,6,6,5,6,1,28,"Egypt",2,1,1,5,1,1,""
110,1,1,1,1,1,1,1,0,1,1,1,0,6,6,3,5,3,3,1,2,2,5,6,6,7,6,5,5,5,5,6,6,6,7,3,1,"Books, where you don't know what it is about. All you know is just 1 or 2 (not so informative) sentence about it Or cosmetic boxes with secrets components",2,"",1,7,7,7,7,6,7,6,5,5,1,23,"Russian Federation",3,2,4,4,1,1,"I like it"
113,2,0,0,0,0,0,0,0,0,0,0,1,6,3,3,5,4,3,3,5,5,5,6,6,6,6,4,5,4,4,6,6,6,6,3,2,"",NA,"",2,5,5,5,5,5,4,5,4,4,1,20,"Russian Federation",1,1,4,2,1,1,""
117,1,1,0,0,1,1,1,1,1,1,1,0,7,1,1,6,5,4,1,5,6,4,5,4,4,4,4,4,4,4,4,4,4,4,3,2,"",NA,"",2,4,3,4,5,2,6,5,6,3,1,23,"Germany",3,1,2,2,1,1,""
119,3,1,0,0,1,1,1,0,1,1,1,0,6,2,2,7,2,3,4,4,5,4,7,7,7,5,4,5,5,4,7,7,7,7,1,2,"",NA,"",1,7,7,7,6,6,7,7,5,6,1,22,"Germany",3,4,2,4,1,1,""
120,2,0,0,0,0,0,0,0,0,0,0,1,4,3,3,3,3,3,3,3,3,3,4,4,6,6,4,4,5,4,4,4,4,4,3,2,"",NA,"",2,4,4,3,4,5,4,6,5,2,1,22,"Russian Federation",3,1,4,4,1,1,""
121,2,1,0,0,1,0,0,0,0,1,1,0,6,3,3,6,1,4,2,4,4,4,6,6,6,6,5,6,6,4,6,6,6,6,3,2,"",NA,"",2,6,6,6,7,5,5,6,6,6,1,20,"Germany",2,1,2,2,1,1,""
124,2,1,0,1,1,1,1,0,0,1,1,0,2,1,1,6,1,6,1,2,1,3,5,4,6,6,4,4,4,4,7,6,6,7,1,2,"",NA,"",2,7,6,5,6,3,6,6,7,2,2,22,"Germany",2,2,2,4,1,1,""
125,1,1,1,1,1,1,1,0,1,0,1,0,5,5,5,5,5,5,5,5,5,5,6,6,7,6,6,6,6,2,6,6,6,3,3,1,"Books with hidden cover but just description of the plot",2,"",1,6,7,7,6,5,6,7,5,5,1,22,"Russian Federation",3,2,1,4,1,1,""
127,2,1,0,1,1,1,1,0,1,1,1,0,7,1,6,3,1,1,2,2,4,3,7,6,7,5,4,3,3,5,5,6,5,4,3,2,"",NA,"",2,6,5,6,7,5,6,7,5,4,1,25,"Germany",1,1,4,4,1,1,""
130,1,1,0,1,1,1,0,0,0,0,0,0,6,5,6,7,5,3,5,3,6,6,6,6,6,7,6,5,5,6,7,7,6,7,3,2,"",NA,"",1,5,7,6,6,5,5,6,5,4,2,23,"Belgium",3,6,4,5,1,1,""
131,2,1,1,0,0,0,1,0,0,0,0,0,7,5,5,1,5,5,4,3,2,2,6,6,7,6,6,6,5,5,6,6,6,6,3,2,"",NA,"",1,6,7,7,7,6,6,6,7,6,2,37,"Germany",1,5,1,5,1,2,"Found the questions a bit complicated and not very clear sometimes."
134,1,1,0,1,1,1,1,0,0,1,0,0,7,4,4,6,3,3,4,4,4,4,7,7,7,7,4,4,4,4,7,7,7,7,2,2,"",NA,"",2,3,5,6,7,2,4,4,5,6,2,22,"Belgium",3,6,4,5,1,1,""
135,2,1,1,0,1,0,1,1,0,1,1,0,5,4,1,4,1,2,1,1,3,1,5,6,5,4,4,4,4,4,6,6,6,6,1,2,"",NA,"",1,5,6,6,3,6,3,4,6,4,1,23,"Germany",2,1,4,2,2,1,""
138,3,1,0,1,1,1,0,0,0,1,0,0,6,1,3,5,1,1,1,1,1,1,6,5,1,5,1,1,1,1,5,5,6,6,3,2,"",NA,"",2,6,7,6,7,6,7,6,7,7,2,23,"Belgium",1,4,1,5,1,2,""
141,1,1,0,1,0,0,1,0,1,0,0,0,6,3,5,3,3,5,3,3,3,3,6,6,6,6,4,4,4,4,4,4,4,4,3,2,"",NA,"",2,5,5,6,6,5,3,6,6,5,1,28,"China",2,1,4,5,2,1,""
142,2,1,0,0,1,0,1,0,0,1,1,0,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,2,2,"",NA,"",2,6,3,5,4,6,5,5,6,4,2,27,"Germany",2,4,2,5,2,2,""
147,1,0,0,0,0,0,1,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,5,4,4,4,4,4,1,2,"",NA,"",2,5,5,4,6,5,5,6,4,4,2,19,"Turkey",3,1,4,2,1,1,""
148,2,1,1,1,1,1,1,1,1,1,1,0,7,5,4,7,5,6,5,3,1,1,6,4,7,6,4,3,6,4,6,5,6,6,3,2,"",NA,"",1,5,5,6,7,4,6,6,6,5,2,24,"Turkey",3,1,1,4,1,2,""
149,4,0,0,0,1,1,0,0,1,0,0,0,3,2,3,7,7,4,4,7,4,5,6,5,6,4,7,7,7,6,7,7,7,7,2,2,"",NA,"",1,6,5,7,6,6,6,5,7,5,2,25,"Turkey",3,6,3,3,1,2,""
150,2,1,1,1,1,1,1,1,1,1,1,0,4,1,2,2,3,3,3,3,1,1,7,7,7,6,6,6,6,6,7,7,7,7,1,2,"",NA,"",1,6,5,5,5,5,6,7,7,5,1,26,"Turkey",2,1,4,5,1,1,""
152,1,0,0,0,0,0,0,0,0,0,0,1,6,1,1,2,6,5,1,2,5,5,4,5,6,6,6,6,6,6,6,6,5,6,3,2,"",NA,"",1,6,2,2,6,5,6,2,2,2,1,24,"Austria",1,1,4,4,1,1,""
153,2,1,0,0,0,1,0,0,0,0,0,0,6,1,2,4,6,5,1,4,1,1,6,5,5,7,5,4,6,4,5,6,5,6,3,2,"",NA,"",2,5,5,6,6,7,5,5,5,4,2,25,"Turkey",2,2,1,4,1,2,""
154,1,1,1,1,0,1,0,0,0,0,0,0,5,5,5,3,5,4,3,4,2,3,6,6,6,5,4,3,3,3,4,3,4,4,3,2,"",NA,"",1,6,4,6,5,5,6,6,6,4,1,26,"Germany",2,4,1,5,2,2,""
156,2,0,0,0,0,0,0,0,0,0,0,1,7,3,3,6,5,2,4,5,1,1,6,7,7,6,5,5,5,5,6,6,6,6,3,2,"",NA,"",2,4,6,4,3,7,5,5,5,6,2,24,"Turkey",3,3,1,4,1,2,""
160,1,1,0,0,0,1,0,0,0,0,1,0,6,3,3,3,3,3,3,3,3,3,6,6,6,6,4,4,4,3,5,5,6,6,3,2,"",NA,"",1,5,6,6,7,5,6,6,6,6,2,29,"Germany",1,3,1,5,1,2,""
161,1,0,0,0,0,0,0,0,0,0,0,1,2,2,2,5,5,2,2,5,2,2,4,4,4,4,5,5,5,5,5,5,5,5,1,2,"",NA,"",2,6,6,6,6,6,6,6,6,6,2,25,"Turkey",1,1,4,5,1,1,""
162,1,1,1,1,1,1,0,0,1,0,0,0,5,3,3,3,5,2,3,5,3,2,4,6,6,6,4,4,4,4,4,4,4,4,3,2,"",NA,"",1,6,6,7,7,6,7,7,6,6,2,25,"Turkey",1,1,4,4,1,1,""
165,1,1,0,0,0,1,0,1,0,1,0,0,6,6,5,5,5,5,5,5,5,5,5,4,6,5,4,4,4,4,4,4,4,4,3,2,"",NA,"",1,5,5,6,7,3,3,5,4,4,1,15,"Russian Federation",2,1,4,1,1,2,""
166,2,1,0,0,1,1,1,0,1,1,1,0,3,1,1,3,3,2,1,4,4,3,6,4,6,5,6,6,6,6,6,5,6,5,2,2,"",NA,"",2,6,4,4,4,6,5,3,6,5,1,24,"Brazil",1,2,1,3,1,2,"I think this topic was too specific, even more because it was about jeans brands. I think people have could responded better to questions about phone brands, laptops or clothes in general."
168,2,1,0,0,1,1,0,0,0,0,0,0,2,1,1,4,2,1,1,3,2,1,5,4,5,2,4,5,4,2,5,6,6,6,2,2,"",NA,"",1,5,6,5,7,5,5,6,6,6,1,23,"Germany",1,1,4,4,1,1,""
169,2,0,0,0,0,0,0,0,0,0,0,1,6,2,6,3,3,5,1,3,6,5,6,6,6,6,4,4,4,4,4,4,4,4,3,2,"",NA,"",2,6,6,7,6,5,5,7,6,6,2,23,"Belgium",1,2,1,5,1,2,""
172,1,1,0,0,1,0,0,0,0,1,1,0,5,2,2,5,2,2,2,2,4,5,4,4,5,5,4,4,4,4,4,4,5,5,3,2,"",NA,"",1,5,4,4,7,4,5,6,5,5,2,20,"Germany",3,2,2,4,1,1,""
173,1,1,1,1,1,0,1,0,1,0,1,0,6,6,5,5,5,5,5,6,5,5,6,4,6,5,6,4,6,5,6,4,6,6,3,1,"Books",2,"",1,6,6,5,6,6,5,6,5,5,1,23,"Russian Federation",2,1,4,4,1,1,""
174,1,1,0,0,1,1,1,0,0,1,1,0,3,2,3,3,3,3,1,2,4,3,4,4,5,4,4,4,4,4,5,5,6,5,3,2,"",NA,"",2,5,6,5,6,4,3,5,6,5,2,20,"Germany",1,1,2,4,1,1,""
177,2,1,1,1,1,1,0,0,0,1,1,0,6,5,2,4,4,1,2,1,7,7,5,5,4,5,5,4,3,4,6,5,5,6,2,2,"",NA,"",2,5,4,6,6,6,5,4,6,5,1,58,"Germany",3,3,2,1,2,2,""
178,1,1,1,0,1,1,1,0,1,1,1,0,2,1,1,1,2,4,1,2,2,3,4,4,5,5,5,6,5,6,5,5,5,5,2,2,"",NA,"",1,7,7,7,7,7,7,6,7,7,1,56,"Germany",1,6,1,5,4,2,""
183,1,1,1,1,1,1,1,1,1,1,1,0,5,1,5,3,1,1,1,1,1,1,6,6,6,5,1,1,1,1,5,5,5,5,2,2,"",NA,"",2,7,6,4,6,6,6,6,7,7,2,24,"Germany",2,2,2,4,2,1,""
